"","Direction","es_cat"
"1","decrease","Negative effect (g < -0.2)"
"2","decrease","No effect"
"3","increase","No effect"
"4","decrease","No effect"
"5","increase","No effect"
"6","increase","No effect"
"7","increase","No effect"
"8","increase","No effect"
"9","increase","No effect"
"10","decrease","No effect"
"11","increase","No effect"
"12","increase","No effect"
"13","increase","No effect"
"14","increase","Positive effect (g > 0.2)"
"15","increase","Positive effect (g > 0.2)"
"16","increase","Positive effect (g > 0.2)"
"17","increase","Positive effect (g > 0.2)"
"18","decrease","No effect"
"19","decrease","Negative effect (g < -0.2)"
"20","decrease","No effect"
"21","decrease","Negative effect (g < -0.2)"
"22","increase","Negative effect (g < -0.2)"
"23","decrease","Negative effect (g < -0.2)"
"24","decrease","Negative effect (g < -0.2)"
"25","decrease","No effect"
"26","increase","No effect"
"27","decrease","No effect"
"28","increase","Positive effect (g > 0.2)"
"29","increase","No effect"
"30","increase","No effect"
"31","increase","No effect"
"32","decrease","No effect"
"33","increase","Positive effect (g > 0.2)"
"34","decrease","No effect"
"35","increase","Positive effect (g > 0.2)"
"36","decrease","No effect"
"37","increase","Positive effect (g > 0.2)"
"38","increase","No effect"
"39","increase","Positive effect (g > 0.2)"
"40","increase","No effect"
"41","increase","Positive effect (g > 0.2)"
"42","increase","Positive effect (g > 0.2)"
"43","decrease","Negative effect (g < -0.2)"
"44","increase","Positive effect (g > 0.2)"
"45","decrease","Negative effect (g < -0.2)"
"46","increase","Positive effect (g > 0.2)"
"47","decrease","No effect"
"48","decrease","Negative effect (g < -0.2)"
"49","decrease","No effect"
"50","increase","No effect"
"51","increase","Positive effect (g > 0.2)"
"52","decrease","No effect"
"53","decrease","No effect"
"54","increase","No effect"
"55","increase","Positive effect (g > 0.2)"
"56","increase","No effect"
"57","decrease","No effect"
"58","increase","No effect"
"59","increase","Positive effect (g > 0.2)"
"60","increase","No effect"
"61","increase","No effect"
"62","increase","No effect"
"63","increase","No effect"
"64","increase","No effect"
"65","increase","No effect"
"66","increase","No effect"
"67","increase","No effect"
"68","decrease","No effect"
"69","decrease","No effect"
"70","increase","No effect"
"71","increase","No effect"
"72","increase","Positive effect (g > 0.2)"
"73","increase","Positive effect (g > 0.2)"
"74","increase","No effect"
"75","increase","Positive effect (g > 0.2)"
"76","decrease","Negative effect (g < -0.2)"
"77","decrease","No effect"
"78","increase","No effect"
"79","increase","No effect"
"80","increase","Positive effect (g > 0.2)"
"81","decrease","Negative effect (g < -0.2)"
"82","decrease","No effect"
"83","increase","Positive effect (g > 0.2)"
"84","increase","Positive effect (g > 0.2)"
"85","decrease","Negative effect (g < -0.2)"
"86","increase","Positive effect (g > 0.2)"
"87","increase","Positive effect (g > 0.2)"
"88","increase","Positive effect (g > 0.2)"
"89","increase","Positive effect (g > 0.2)"
"90","decrease","No effect"
"91","increase","No effect"
"92","decrease","Negative effect (g < -0.2)"
"93","decrease","Negative effect (g < -0.2)"
"94","decrease","Negative effect (g < -0.2)"
"95","increase","Positive effect (g > 0.2)"
"96","decrease","Negative effect (g < -0.2)"
"97","increase","Positive effect (g > 0.2)"
"98","decrease","No effect"
"99","increase","Positive effect (g > 0.2)"
"100","decrease","Negative effect (g < -0.2)"
"101","increase","Positive effect (g > 0.2)"
"102","decrease","Negative effect (g < -0.2)"
