Reference_ID,Title,DOI,Alt_DOI,Date,Journal,Author,Citation (Nature style),Publication Title,ISBN,ISSN,Url,Date Added,Access Date,Pages,Issue,Volume,Journal Abbreviation
2,"A Conceptual Model for the Impact of Climate Change on Fox Rabies in Alaska, 1980–2010",10.1111/zph.12044,,2013,Zoonoses and Public Health,"Kim, B. I.; Blanton, J. D.; Gilbert, A.; Castrodale, L.; Hueffer, K.; Slate, D.; Rupprecht, C. E.","Kim, B. I. et al. A Conceptual Model for the Impact of Climate Change on Fox Rabies in Alaska, 1980–2010. Zoonoses and Public Health 61, 72–80 (2014).",Zoonoses and Public Health,,"1863-1959, 1863-2378",https://onlinelibrary.wiley.com/doi/10.1111/zph.12044,6/10/24 10:48,6/10/24 10:48,72-80,1,61,Zoonoses and Public Health
4,A primary investigation of the relation between the incidence of brucellosis and climatic factors in Iran,https://doi.org/10.1016/j.micpath.2019.103858,,2019,Microbial Pathogenesis,"Dadar, Maryam; Shahali, Youcef; Fakhri, Yadolah","Dadar, M., Shahali, Y. & Fakhri, Y. A primary investigation of the relation between the incidence of brucellosis and climatic factors in Iran. Microbial Pathogenesis 139, 103858 (2020).",Microbial Pathogenesis,,8824010,https://linkinghub.elsevier.com/retrieve/pii/S0882401019315153,6/10/24 10:51,6/10/24 10:51,103858,,139,Microbial Pathogenesis
5,A spatio-temporal analysis of scrub typhus and murine typhus in Laos; implications from changing landscapes and climate,https://doi.org/10.1371/journal.pntd.0009685.g006,10.1371/journal.pntd.0009685,2021,PLOS neglected tropical diseases,"Roberts, Tamalee; Parker, Daniel M.; Bulterys, Philip L.; Rattanavong, Sayaphet; Elliott, Ivo; Phommasone, Koukeo; Mayxay, Mayfong; Chansamouth, Vilada; Robinson, Matthew T.; Blacksell, Stuart D.; Newton, Paul N.","Roberts, T. et al. A spatio-temporal analysis of scrub typhus and murine typhus in Laos; implications from changing landscapes and climate. PLoS Negl Trop Dis 15, e0009685 (2021).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0009685,6/10/24 10:53,6/10/24 10:53,e0009685,8,15,PLoS Negl Trop Dis
6,Air pollution and hemorrhagic fever with renal syndrome in South Korea: an ecological correlation study,10.1186/1471-2458-13-347,,2013,BMC Public Health,"Han, Seung Seok; Kim, Sunhee; Choi, Yunhee; Kim, Suhnggwon; Kim, Yon Su","Han, S. S., Kim, S., Choi, Y., Kim, S. & Kim, Y. S. Air pollution and hemorrhagic fever with renal syndrome in South Korea: an ecological correlation study. BMC Public Health 13, 347 (2013).",BMC Public Health,,1471-2458,https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-13-347,6/10/24 10:54,6/10/24 10:54,347,1,13,BMC Public Health
8,"Animal Reservoir, Natural and Socioeconomic Variations and the Transmission of Hemorrhagic Fever with Renal Syndrome in Chenzhou, China, 2006–2010",10.1371/journal.pntd.0002615,,2014,PLOS neglected tropical diseases,"Xiao, Hong; Tian, Huai-Yu; Gao, Li-Dong; Liu, Hai-Ning; Duan, Liang-Song; Basta, Nicole; Cazelles, Bernard; Li, Xiu-Jun; Lin, Xiao-Ling; Wu, Hong-Wei; Chen, Bi-Yun; Yang, Hui-Suo; Xu, Bing; Grenfell, Bryan","Xiao, H. et al. Animal Reservoir, Natural and Socioeconomic Variations and the Transmission of Hemorrhagic Fever with Renal Syndrome in Chenzhou, China, 2006–2010. PLoS Negl Trop Dis 8, e2615 (2014).",PLoS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0002615,6/10/24 10:54,6/10/24 10:54,e2615,1,8,PLoS Negl Trop Dis
11,Assessing changing weather and the El Niño Southern Oscillation impacts on cattle rabies outbreaks and mortality in Costa Rica (1985–2016),https://doi.org/10.1186/s12917-018-1588-8,,2018,BMC Veterinary Research,"Hutter, Sabine E.; Käsbohrer, Annemarie; González, Silvia Lucia Fallas; León, Bernal; Brugger, Katharina; Baldi, Mario; Mario Romero, L.; Gao, Yan; Chaves, Luis Fernando","Hutter, S. E. et al. Assessing changing weather and the El Niño Southern Oscillation impacts on cattle rabies outbreaks and mortality in Costa Rica (1985–2016). BMC Vet Res 14, 285 (2018).",BMC Veterinary Research,,1746-6148,https://bmcvetres.biomedcentral.com/articles/10.1186/s12917-018-1588-8,6/10/24 10:57,6/10/24 10:57,285,1,14,BMC Vet Res
12,Association between environmental and climatic risk factors and the spatial distribution of cystic and alveolar echinococcosis in Kyrgyzstan,https://doi.org/10.1371/journal.pntd.0009498,,2021,PLOS neglected tropical diseases,"Paternoster, Giulia; Boo, Gianluca; Flury, Roman; Raimkulov, Kursanbek M.; Minbaeva, Gulnara; Usubalieva, Jumagul; Bondarenko, Maksym; Müllhaupt, Beat; Deplazes, Peter; Furrer, Reinhard; Torgerson, Paul R.","Paternoster, G. et al. Association between environmental and climatic risk factors and the spatial distribution of cystic and alveolar echinococcosis in Kyrgyzstan. PLoS Negl Trop Dis 15, e0009498 (2021).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0009498,6/10/24 10:57,6/10/24 10:57,e0009498,6,15,PLoS Negl Trop Dis
14,"Association between Hemorrhagic Fever with Renal Syndrome Epidemic and Climate Factors in Heilongjiang Province, China",10.4269/ajtmh.12-0473,,2013,American Journal of Tropical Medicine and Hygiene,"Huang, Liu-Yu; Cui, Zhuang; Li, Shen-Long; Magalhaes, Ricardo J. Soares; Zhang, Wen-Yi; Wang, Bao-Long; Zhang, Cui; Li, Chang-Ping; Li, Cheng-Yi; Sun, Hai-Long; Ma, Jun","Huang, L.-Y. et al. Association between Hemorrhagic Fever with Renal Syndrome Epidemic and Climate Factors in Heilongjiang Province, China. The American Journal of Tropical Medicine and Hygiene 89, 1006–1012 (2013).",The American Journal of Tropical Medicine and Hygiene,,"0002-9637, 1476-1645",https://ajtmh.org/doi/10.4269/ajtmh.12-0473,6/10/24 11:25,6/10/24 11:25,1006-1012,5,89,
17,Association of Weather and Anthropogenic Factors for Transmission of Japanese Encephalitis in an Endemic Area of India,10.1007/s10393-013-0849-z,,2013,EcoHealth,"Borah, Jani; Dutta, Prafulla; Khan, Siraj A.; Mahanta, Jagadish","Borah, J., Dutta, P., Khan, S. A. & Mahanta, J. Association of Weather and Anthropogenic Factors for Transmission of Japanese Encephalitis in an Endemic Area of India. EcoHealth 10, 129–136 (2013).",EcoHealth,,"1612-9202, 1612-9210",http://link.springer.com/10.1007/s10393-013-0849-z,6/10/24 11:25,6/10/24 11:25,129-136,2,10,EcoHealth
18,"Atmospheric Moisture Variability and Transmission of Hemorrhagic Fever with Renal Syndrome in Changsha City, Mainland China, 1991–2010",10.1371/journal.pntd.0002260,,2013,PLOS neglected tropical diseases,"Xiao, Hong; Tian, Huai-Yu; Cazelles, Bernard; Li, Xiu-Jun; Tong, Shi-Lu; Gao, Li-Dong; Qin, Jian-Xin; Lin, Xiao-Ling; Liu, Hai-Ning; Zhang, Xi-Xing","Xiao, H. et al. Atmospheric Moisture Variability and Transmission of Hemorrhagic Fever with Renal Syndrome in Changsha City, Mainland China, 1991–2010. PLoS Negl Trop Dis 7, e2260 (2013).",PLoS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0002260,6/10/24 14:48,6/10/24 14:48,e2260,6,7,PLoS Negl Trop Dis
19,"Avian influenza infection dynamics under variable climatic conditions, viral prevalence is rainfall driven in waterfowl from temperate, south-east Australia",10.1186/s13567-016-0308-2,,2016,Veterinary Research,"Ferenczi, Marta; Beckmann, Christa; Warner, Simone; Loyn, Richard; O’Riley, Kim; Wang, Xinlong; Klaassen, Marcel","Ferenczi, M. et al. Avian influenza infection dynamics under variable climatic conditions, viral prevalence is rainfall driven in waterfowl from temperate, south-east Australia. Vet Res 47, 23 (2016).",Veterinary Research,,1297-9716,https://veterinaryresearch.biomedcentral.com/articles/10.1186/s13567-016-0308-2,6/10/24 11:25,6/10/24 11:25,23,1,47,Vet Res
