"row_unique","Reference_ID","Data_ID","Environmental_condition","General_response","Response","Specific_response","Environmental_metric","General_Disease","Disease","Pathogen","Transmission","Transmission_type","Pathogen_genus","vector","Principal_reservoir","Specific_scale","General_Stats_Method","Statistical_method","N.value","temp_altered","Type","Linear_Nonlinear","R.squared","Value","Lower","Upper","Error","Std._error","P.value_general","P.value_specific","Direction","Direction_statement","DOI","Continent","Country","Location","Latitude_","Longitude","Study_period","Date_published","Dummy","lag_period_months","Notes","Journal","Journal_5yr_Impact","measure","n_method","es","se","weight","sample.size","var","ci.lo","ci.hi","X","Y","bio1.1981.2010","bio12.1981.2010","bio1.2041.2070.gfdl.ssp126","bio12.2041.2070.gfdl.ssp126","bio1.2041.2070.gfdl.ssp370","bio12.2041.2070.gfdl.ssp370","bio1.2041.2070.gfdl.ssp585","bio12.2041.2070.gfdl.ssp585","bio1.2041.2070.ipsl.ssp126","bio12.2041.2070.ipsl.ssp126","bio1.2041.2070.ipsl.ssp370","bio12.2041.2070.ipsl.ssp370","bio1.2041.2070.ipsl.ssp585","bio12.2041.2070.ipsl.ssp585","bio1.2041.2070.mpi.ssp126","bio12.2041.2070.mpi.ssp126","bio1.2041.2070.mpi.ssp370","bio12.2041.2070.mpi.ssp370","bio1.2041.2070.mpi.ssp585","bio12.2041.2070.mpi.ssp585","bio1.2041.2070.mri.ssp126","bio12.2041.2070.mri.ssp126","bio1.2041.2070.mri.ssp370","bio12.2041.2070.mri.ssp370","bio1.2041.2070.mri.ssp585","bio12.2041.2070.mri.ssp585","bio1.2041.2070.ukesm1.ssp126","bio12.2041.2070.ukesm1.ssp126","bio1.2041.2070.ukesm1.ssp370","bio12.2041.2070.ukesm1.ssp370","bio1.2041.2070.ukesm1.ssp585","bio12.2041.2070.ukesm1.ssp585","bio1.diff.gfdl.ssp126","bio1.diff.gfdl.ssp370","bio1.diff.gfdl.ssp585","bio1.diff.ipsl.ssp126","bio1.diff.ipsl.ssp370","bio1.diff.ipsl.ssp585","bio1.diff.mpi.ssp126","bio1.diff.mpi.ssp370","bio1.diff.mpi.ssp585","bio1.diff.mri.ssp126","bio1.diff.mri.ssp370","bio1.diff.mri.ssp585","bio1.diff.ukesm1.ssp126","bio1.diff.ukesm1.ssp370","bio1.diff.ukesm1.ssp585","bio12.diff.gfdl.ssp126","bio12.diff.gfdl.ssp370","bio12.diff.gfdl.ssp585","bio12.diff.ipsl.ssp126","bio12.diff.ipsl.ssp370","bio12.diff.ipsl.ssp585","bio12.diff.mpi.ssp126","bio12.diff.mpi.ssp370","bio12.diff.mpi.ssp585","bio12.diff.mri.ssp126","bio12.diff.mri.ssp370","bio12.diff.mri.ssp585","bio12.diff.ukesm1.ssp126","bio12.diff.ukesm1.ssp370","bio12.diff.ukesm1.ssp585","bio1.positive.prop","bio1.negative.prop","bio12.positive.prop","bio12.negative.prop","bio1.greater_than_2","bio1.greater_than_15","bio1.greater_than_1","bio1.greater_than_05","bio1.less_than_05","bio1.less_than_1","bio1.less_than_15","bio1.less_than_2","bio12.greater_than_100","bio12.greater_than_50","bio12.greater_than_25","bio12.less_than_minus_100","bio12.less_than_minus_50","bio12.less_than_minus_25","bio12.between_minus_50_and_50","bio12.between_minus_100_and_100","bio12.between_minus_25_and_25","bio1_most_frequent_2","bio1_most_frequent_15","bio1_most_frequent_1","bio1_most_frequent_05","bio12_most_frequent_100cat","bio12_most_frequent_50cat","bio12_most_frequent_25cat","es_cat"
"R188","96","X354","Temperature","Human disease incidence","Incidence","Cases","Monthly mean","Hantaviral diseases","Hantaan virus","Virus","Z","Non-vectored","Hantavirus",NA,"Rodents","1","GAM","Generalised additive model",636,NA,"Correlation coefficient","Linear",NA,-0.48,NA,NA,NA,NA,"<0.01",NA,"decrease","Discussion","https://doi.org/10.1073/pnas.1701777114","Asia","China","Wehei plain","33.998641999999997",107.999559,"1960-2013",2017,1,NA,"N-value is the number of months in the study period","Proceedings of the National Academy of Sciences, Biological Sciences",0.96,NA,62,-0.204973356080343,0.0798156666128296,NA,636,0.00637054063685037,-0.36141206264149,-0.0485346495191973,107.999559,33.998642,7.45000000000005,1123.1,9.25000000000006,1249.6,9.55000000000001,1149.5,10.15,1114,9.65000000000003,1171.4,10.35,1152.6,10.95,1149.5,8.75000000000006,1135.6,9.05000000000001,1094.4,9.65000000000003,1120,9.65000000000003,1192.7,9.75000000000006,1138.5,10.65,1166.9,10.55,1225.9,11.7500000000001,1235.5,12.2500000000001,1275.1,1.80000000000001,2.09999999999996,2.69999999999995,2.19999999999998,2.89999999999995,3.49999999999995,1.30000000000001,1.59999999999996,2.19999999999998,2.19999999999998,2.30000000000001,3.19999999999995,3.09999999999995,4.30000000000005,4.80000000000005,126.5,26.4000000000001,-9.09999999999991,48.3000000000002,29.5,26.4000000000001,12.5,-28.6999999999998,-3.09999999999991,69.6000000000001,15.4000000000001,43.8000000000002,102.8,112.4,152,15,0,12,3,12,14,15,15,0,0,1,3,4,5,10,0,0,1,10,11,4,"bio1 > 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","bio12 > 25","Negative effect (g < -0.2)"
"R189","96","X355","Precipitation","Human disease incidence","Incidence","Cases","Monthly total","Hantaviral diseases","Hantaan virus","Virus","Z","Non-vectored","Hantavirus",NA,"Rodents","1","GAM","Generalised additive model",636,NA,"Correlation coefficient","Linear",NA,0.35,NA,NA,NA,NA,"<0.01",NA,"increase","Discussion","https://doi.org/10.1073/pnas.1701777114","Asia","China","Wehei plain","33.998641999999997",107.999559,"1960-2013",2017,1,NA,"N-value is the number of months in the study period","Proceedings of the National Academy of Sciences, Biological Sciences",0.96,NA,62,0.204973356080343,0.0798156666128296,NA,636,0.00637054063685037,0.0485346495191973,0.36141206264149,107.999559,33.998642,7.45000000000005,1123.1,9.25000000000006,1249.6,9.55000000000001,1149.5,10.15,1114,9.65000000000003,1171.4,10.35,1152.6,10.95,1149.5,8.75000000000006,1135.6,9.05000000000001,1094.4,9.65000000000003,1120,9.65000000000003,1192.7,9.75000000000006,1138.5,10.65,1166.9,10.55,1225.9,11.7500000000001,1235.5,12.2500000000001,1275.1,1.80000000000001,2.09999999999996,2.69999999999995,2.19999999999998,2.89999999999995,3.49999999999995,1.30000000000001,1.59999999999996,2.19999999999998,2.19999999999998,2.30000000000001,3.19999999999995,3.09999999999995,4.30000000000005,4.80000000000005,126.5,26.4000000000001,-9.09999999999991,48.3000000000002,29.5,26.4000000000001,12.5,-28.6999999999998,-3.09999999999991,69.6000000000001,15.4000000000001,43.8000000000002,102.8,112.4,152,15,0,12,3,12,14,15,15,0,0,1,3,4,5,10,0,0,1,10,11,4,"bio1 > 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","bio12 > 25","Positive effect (g > 0.2)"
"R94","48","X176","Temperature","Human case locations","Cases","Cases","Annual mean","Echinococcoses","Alveolar echinococcosis","Parasite","Z","Non-vectored","Echinocococcus",NA,"Mammals (multispecies)","1","Correlation","Pearson correlation",591,NA,"Correlation coefficient","Linear",NA,-0.10734,NA,NA,NA,NA,"<0.05","2.12E-2","decrease","Abstract","https://doi.org/10.1016/j.actatropica.2020.105654","Europe","Germany",NA,NA,NA,"1992-2018",2020,1,NA,NA,"Acta Tropica",3.074,NA,27,-0.21565248217576,0.0828522309853776,NA,591,0.00686449217925436,-0.3780428549071,-0.05326210944442,10.4515,51.1657,8.85000000000002,611,10.55,657.1,11.35,644,11.35,641.5,10.7500000000001,627.2,11.45,628,12.2500000000001,631.1,10.35,601.4,10.85,583.3,10.7500000000001,619.6,10.05,613.2,10.85,621.6,10.95,623.6,11.35,620.4,12.55,600.1,13.35,587.5,1.69999999999998,2.49999999999998,2.49999999999998,1.90000000000008,2.59999999999998,3.40000000000008,1.49999999999998,1.99999999999998,1.90000000000008,1.19999999999998,1.99999999999998,2.09999999999998,2.49999999999998,3.69999999999998,4.49999999999998,46.1,33,30.5,16.2,17,20.1,-9.60000000000002,-27.7,8.60000000000002,2.20000000000005,10.6,12.6,9.39999999999998,-10.9,-23.5,15,0,11,4,8,13,15,15,0,0,2,7,0,0,3,0,0,1,15,15,11,"bio1 > 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","-25 < bio12 < 25","Negative effect (g < -0.2)"
"R95","48","X177","Precipitation","Human case locations","Cases","Cases","Annual height","Echinococcoses","Alveolar echinococcosis","Parasite","Z","Non-vectored","Echinocococcus",NA,"Mammals (multispecies)","1","Correlation","Pearson correlation",591,NA,"Correlation coefficient","Linear",NA,0.22435,NA,NA,NA,NA,"<0.0001",NA,"increase","Abstract","https://doi.org/10.1016/j.actatropica.2020.105654","Europe","Germany",NA,NA,NA,"1992-2018",2020,1,NA,NA,"Acta Tropica",3.074,NA,27,0.459850628373259,0.0845282830011525,NA,591,0.00714503062712292,0.294175193691,0.625526063055518,10.4515,51.1657,8.85000000000002,611,10.55,657.1,11.35,644,11.35,641.5,10.7500000000001,627.2,11.45,628,12.2500000000001,631.1,10.35,601.4,10.85,583.3,10.7500000000001,619.6,10.05,613.2,10.85,621.6,10.95,623.6,11.35,620.4,12.55,600.1,13.35,587.5,1.69999999999998,2.49999999999998,2.49999999999998,1.90000000000008,2.59999999999998,3.40000000000008,1.49999999999998,1.99999999999998,1.90000000000008,1.19999999999998,1.99999999999998,2.09999999999998,2.49999999999998,3.69999999999998,4.49999999999998,46.1,33,30.5,16.2,17,20.1,-9.60000000000002,-27.7,8.60000000000002,2.20000000000005,10.6,12.6,9.39999999999998,-10.9,-23.5,15,0,11,4,8,13,15,15,0,0,2,7,0,0,3,0,0,1,15,15,11,"bio1 > 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","-25 < bio12 < 25","Positive effect (g > 0.2)"
"R200","100","X366","Humidity","Human disease incidence","Cases","Hospital admissions","Daily mean relative","Arboviral diseases","Japanese encephalitis","Virus","ZVB","Vectored","Flavivirus","Mosquito","Birds","1","GL(M)M","Generalised additive model",2764,NA,"Relative risk","Linear",NA,0.988,0.979,0.998,"95% Confidence",NA,"<0.05",NA,"decrease","Abstract","https://doi.org/10.1016/j.actatropica.2020.105701","Asia","India","Gorakhpur","26.752227999999999",83.378751,"2001-2016",2020,1,NA,"Can't access","Acta Tropica",3.074,"g",200,-0.00665415533729999,0.0014064512638311,505534.296896331,2764,1.97810515753211e-06,-0.0094107491604198,-0.00389756151418019,83.378751,26.752228,25.15,1259,26.35,1295,26.05,1304,26.65,1309.5,26.95,1299.5,27.7500000000001,1187.7,28.15,1307.9,26.55,1148.9,25.85,1254.4,26.2500000000001,1315.5,27.05,1259.2,26.55,1311.3,27.7500000000001,1289.9,26.85,1639.1,26.95,2016.2,27.7500000000001,1768.6,1.2,0.900000000000002,1.5,1.8,2.6000000000001,3,1.4,0.700000000000003,1.1000000000001,1.9,1.4,2.6000000000001,1.7,1.8,2.6000000000001,36,45,50.5,40.5,-71.3,48.9000000000001,-110.1,-4.59999999999991,56.5,0.200000000000045,52.3,30.9000000000001,380.1,757.2,509.6,15,0,12,3,4,8,13,15,0,2,7,11,3,6,11,1,2,2,7,11,2,"bio1 < 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","bio12 > 25","No effect"
"R199","100","X365","Precipitation","Human disease incidence","Cases","Hospital admissions","Daily total","Arboviral diseases","Japanese encephalitis","Virus","ZVB","Vectored","Flavivirus","Mosquito","Birds","1","GL(M)M","Generalised additive model",2764,NA,"Relative risk","Linear",NA,1.003,1,1.006,"95% Confidence",NA,"<0.05",NA,"increase","Abstract","https://doi.org/10.1016/j.actatropica.2020.105701","Asia","India","Gorakhpur","26.752227999999999",83.378751,"2001-2016",2020,1,NA,"Can't access","Acta Tropica",3.074,"g",200,0.00165106216136071,0.000421935379149347,5617047.74329215,2764,1.78029464177903e-07,0.000824084014424743,0.00247804030829669,83.378751,26.752228,25.15,1259,26.35,1295,26.05,1304,26.65,1309.5,26.95,1299.5,27.7500000000001,1187.7,28.15,1307.9,26.55,1148.9,25.85,1254.4,26.2500000000001,1315.5,27.05,1259.2,26.55,1311.3,27.7500000000001,1289.9,26.85,1639.1,26.95,2016.2,27.7500000000001,1768.6,1.2,0.900000000000002,1.5,1.8,2.6000000000001,3,1.4,0.700000000000003,1.1000000000001,1.9,1.4,2.6000000000001,1.7,1.8,2.6000000000001,36,45,50.5,40.5,-71.3,48.9000000000001,-110.1,-4.59999999999991,56.5,0.200000000000045,52.3,30.9000000000001,380.1,757.2,509.6,15,0,12,3,4,8,13,15,0,2,7,11,3,6,11,1,2,2,7,11,2,"bio1 < 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","bio12 > 25","No effect"
"R198","100","X364","Temperature","Human disease incidence","Cases","Hospital admissions","Daily mean","Arboviral diseases","Japanese encephalitis","Virus","ZVB","Vectored","Flavivirus","Mosquito","Birds","1","GL(M)M","Generalised additive model",2764,NA,"Relative risk","Linear",NA,1.067,1.006,1.132,"95% Confidence",NA,"<0.05",NA,"increase","Abstract","https://doi.org/10.1016/j.actatropica.2020.105701","Asia","India","Gorakhpur","26.752227999999999",83.378751,"2001-2016",2020,1,0.33333,"Can't access","Acta Tropica",3.074,"g",200,0.0357445052732163,0.00914193321490216,11965.3088022801,2764,8.35749429057313e-05,0.0178266454229376,0.0536623651234949,83.378751,26.752228,25.15,1259,26.35,1295,26.05,1304,26.65,1309.5,26.95,1299.5,27.7500000000001,1187.7,28.15,1307.9,26.55,1148.9,25.85,1254.4,26.2500000000001,1315.5,27.05,1259.2,26.55,1311.3,27.7500000000001,1289.9,26.85,1639.1,26.95,2016.2,27.7500000000001,1768.6,1.2,0.900000000000002,1.5,1.8,2.6000000000001,3,1.4,0.700000000000003,1.1000000000001,1.9,1.4,2.6000000000001,1.7,1.8,2.6000000000001,36,45,50.5,40.5,-71.3,48.9000000000001,-110.1,-4.59999999999991,56.5,0.200000000000045,52.3,30.9000000000001,380.1,757.2,509.6,15,0,12,3,4,8,13,15,0,2,7,11,3,6,11,1,2,2,7,11,2,"bio1 < 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","-50 < bio12 < 50","bio12 > 25","No effect"
"R354","136","X530","Temperature","Human disease incidence","Incidence","Standardised Incidence rates","Annual mean","Rickettsioses","Scrub typhus","Bacteria","ZVB","Vectored","Rickettsia","Mite","Mammals (multispecies)","1","Correlation","Spearman rank correlation",1558,NA,"Correlation coefficient","Linear",NA,-0.21,NA,NA,NA,NA,"<0.001",NA,"decrease","Abstract","10.1016/j.actatropica.2011.05.018","Asia","Taiwan",NA,NA,NA,"2003-2008",2011,1,NA,"Can't access","Acta Tropica",3.074,NA,200,-0.429371924149291,0.051850046700284,NA,1558,0.00268842734282163,-0.530998015681848,-0.327745832616735,120.961,23.697,8.85000000000002,4922.4,10.15,5291.2,10.65,5233.9,10.95,5057.5,10.05,4987.1,10.55,4676.3,10.85,4598.6,9.75000000000006,5381.1,10.45,4859.3,10.55,5002.1,10.15,5270.6,10.35,5016.4,10.85,5156,10.85,5444.7,11.7500000000001,5344.8,12.05,5099.6,1.29999999999998,1.79999999999998,2.09999999999998,1.19999999999998,1.69999999999998,1.99999999999998,0.900000000000041,1.59999999999998,1.69999999999998,1.29999999999998,1.49999999999998,1.99999999999998,1.99999999999998,2.90000000000008,3.19999999999998,368.8,311.5,135.1,64.7000000000007,-246.099999999999,-323.799999999999,458.700000000001,-63.0999999999995,79.7000000000007,348.200000000001,94,233.6,522.3,422.400000000001,177.200000000001,15,0,12,3,3,10,14,15,0,1,5,12,9,12,12,2,3,3,0,4,0,"bio1 < 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","bio12 > 100","bio12 > 50","bio12 > 25","Negative effect (g < -0.2)"
"R355","136","X531","Precipitation","Human disease incidence","Incidence","Standardised Incidence rates","Annual total","Rickettsioses","Scrub typhus","Bacteria","ZVB","Vectored","Rickettsia","Mite","Mammals (multispecies)","1","Correlation","Spearman rank correlation",1558,NA,"Correlation coefficient","Linear",NA,0.438,NA,NA,NA,NA,"<0.001",NA,"increase","Abstract","10.1016/j.actatropica.2011.05.018","Asia","Taiwan",NA,NA,NA,"2003-2008",2011,1,NA,"Can't access","Acta Tropica",3.074,NA,200,0.973973384209152,0.0563907384586776,NA,1558,0.00317991538391499,0.863447536830144,1.08449923158816,120.961,23.697,8.85000000000002,4922.4,10.15,5291.2,10.65,5233.9,10.95,5057.5,10.05,4987.1,10.55,4676.3,10.85,4598.6,9.75000000000006,5381.1,10.45,4859.3,10.55,5002.1,10.15,5270.6,10.35,5016.4,10.85,5156,10.85,5444.7,11.7500000000001,5344.8,12.05,5099.6,1.29999999999998,1.79999999999998,2.09999999999998,1.19999999999998,1.69999999999998,1.99999999999998,0.900000000000041,1.59999999999998,1.69999999999998,1.29999999999998,1.49999999999998,1.99999999999998,1.99999999999998,2.90000000000008,3.19999999999998,368.8,311.5,135.1,64.7000000000007,-246.099999999999,-323.799999999999,458.700000000001,-63.0999999999995,79.7000000000007,348.200000000001,94,233.6,522.3,422.400000000001,177.200000000001,15,0,12,3,3,10,14,15,0,1,5,12,9,12,12,2,3,3,0,4,0,"bio1 < 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","bio12 > 100","bio12 > 50","bio12 > 25","Positive effect (g > 0.2)"
"R488","215","X774","Temperature","Human disease incidence","Incidence","Incidence","Annual mean","Leptospirosis","Leptospirosis","Bacteria","Z","Non-vectored","Leptospira",NA,"Rodents","1","Correlation","Spearman rank correlation",395,NA,"Correlation coefficient","Linear",NA,0.3,NA,NA,NA,NA,"<0.05","0.04","increase","Results","http://dx.doi.org/10.1016/j.actatropica.2017.01.002","Europe","Croatia",NA,NA,NA,"2009-2014",2017,1,NA,"Incidence rate ratios for various groupings of precipitation and temperature are available.","Acta Tropica",3.074,NA,62,0.627769811831942,0.105690545469183,NA,395,0.0111704914015735,0.420616342712343,0.834923280951541,15.2,45.1,8.15000000000003,1829.6,10.05,1909.6,10.85,1739.7,10.85,1781.5,10.05,1805.7,10.95,1773.1,11.65,1734.1,9.95000000000005,1745,10.55,1685.9,10.55,1748.7,9.75000000000006,1832.5,10.45,1884,10.7500000000001,1892.6,11.05,1804.6,12.35,1802,13.15,1735.6,1.89999999999997,2.69999999999997,2.69999999999997,1.89999999999997,2.79999999999997,3.49999999999997,1.80000000000002,2.39999999999997,2.39999999999997,1.60000000000003,2.29999999999997,2.60000000000007,2.89999999999997,4.19999999999997,4.99999999999997,80,-89.8999999999999,-48.0999999999999,-23.8999999999999,-56.5,-95.5,-84.5999999999999,-143.7,-80.8999999999999,2.90000000000009,54.4000000000001,63,-25,-27.5999999999999,-94,15,0,4,11,11,15,15,15,0,0,0,4,0,3,3,1,7,9,5,14,3,"bio1 > 2","bio1 > 1.5","bio1 > 1","bio1 > 0.5","-100 < bio12 < 100","bio12 < -50","bio12 < -25","Positive effect (g > 0.2)"
