Disease,Disease2,Transmission,Principal_reservoir
Rabies,Rabies,Z,Mammals (multispecies)
Brucellosis,Brucellosis,Z,Livestock
Scrub typhus,Rickettsioses,ZVB,Mammals (multispecies)
Murine typhus,Rickettsioses,ZVB,Mammals (multispecies)
Haemorrhagic fever with renal syndrome,Hantaviral diseases,Z,Rodents
Amebiasis,Fecal-oral bacteria/parasites,FWB,Environment
Alveolar echinococcosis,Echinococcoses,Z,Mammals (multispecies)
Cystic echinococcosis,Echinococcoses,Z,Livestock
Japanese encephalitis,Arboviral diseases,ZVB,Birds
Avian influenza,Avian influenza,Z,Birds
Sin Nombre Virus,Hantaviral diseases,Z,Rodents
Hendra virus,Henipaviral diseases,Z,Bats
Nipah virus,Henipaviral diseases,Z,Bats
Puumala virus,Hantaviral diseases,Z,Rodents
Rift valley fever,Arboviral diseases,ZVB,Livestock
Mycoses,Mycoses,Env,Environment
Plague,Plague,ZVB,Rodents
MERS-CoV,MERS,Z,Bats
Leptospirosis,Leptospirosis,Z,Rodents
Cryptosporidiosis,Fecal-oral bacteria/parasites,FWB,Mammals (multispecies)
Salmonellosis,Fecal-oral bacteria/parasites,FWB,Mammals/birds
Campylobacteriosis,Fecal-oral bacteria/parasites,FWB,Mammals/birds
Tick-borne encephalitis,Arboviral diseases,ZVB,Mammals (multispecies)
Crimean congo haemorrhagic fever,Arboviral diseases,ZVB,Mammals (multispecies)
Lassa fever,Arenaviral diseases,Z,Rodents
Hantaviruses,Hantaviral diseases,Z,Rodents
Monkeypox,Mpox,Z,Rodents
Talaromycosis,Mycoses,Env,Environment
Anjozorobe virus,Hantaviral diseases,Z,Rodents
Hantavirus pulmonary syndrome,Hantaviral diseases,Z,Rodents
Rocky Mountain Spotted Fever,Rickettsioses,ZVB,Mammals (multispecies)
Spotted fever group,Rickettsioses,ZVB,Mammals (multispecies)
Histoplasmosis,Mycoses,Env,Bats/birds
Rickettsial disease,Rickettsioses,ZVB,Mammals (multispecies)
Canine Leptospirosis,Leptospirosis,Z,Rodents
Hantaan virus,Hantaviral diseases,Z,Rodents
Seoul hantavirus,Hantaviral diseases,Z,Rodents
Anthrax,Anthrax,Z,Mammals (multispecies)
Nephropathia epidemica,Hantaviral diseases,Z,Rodents
West Nile Virus,Arboviral diseases,ZVB,Birds
Dobrava-Belgrade virus,Hantaviral diseases,Z,Rodents
Mediterranean spotted fever,Rickettsioses,ZVB,Mammals (multispecies)
Andes virus,Hantaviral diseases,Z,Rodents
Toxoplasmosis,Toxoplasmosis,Z,Livestock
Bartonellosis,Bartonellosis,ZVB,Mammals (multispecies)
Melioidosis,Melioidosis,Env,Environment
"Rabies, hydatide cysts, brucellosis, anthrax & leishmaniosis",Multiple,,
Junin virus,Arenaviral diseases,Z,Rodents
Human echinococcosis,Echinococcoses,Z,Mammals (multispecies)
Giardiasis,Fecal-oral bacteria/parasites,FWB,Environment
Borreliosis,Borrelioses,ZVB,Mammals (multispecies)
Q-fever,Q-fever,Z,Livestock
Avian Influenza,Avian influenza,Z,Birds
Typhus group rickettsiosis,Rickettsioses,ZVB,Mammals (multispecies)
Hydatid disease,Echinococcoses,Z,Livestock
Anaplasmosis,Anaplasmosis,ZVB,Mammals (multispecies)
Ebola,Ebola,Z,Bats
Lyme disease,Borrelioses,ZVB,Mammals (multispecies)
Theileriosis,Theileriosis,ZVB,Mammals (multispecies)
