,Country,Continent,Location,Latitude_,Longitude
1,USA,North America,Alaska,66.160507,-153.369141
2,China,Asia,Hebei province,39.074094,115.983687
3,Laos,Asia,Vientiane,17.974855,102.630867
4,South Korea,Asia,,37.5326,127.024612
5,China,Asia,Chenzhou,25.77051,113.014718
6,Mexico,North America,,19.432608,-99.133209
7,Costa Rica,North America,,9.934739,-84.087502
8,Kyrgyzstan,Asia,,42.882004,74.582748
9,China,Asia,Heilongjiang,45.811573,126.546707
10,India,Asia,Dibrugarh,27.472834,94.911964
11,China,Asia,Changsha,28.228001,112.939003
12,Australia,Oceania,Murray-Darling Basin,-35.40926,143.762027
13,Australia,Oceania,Victoria,-37.0201,144.9646
14,Australia,Oceania,South East,-36.480196,143.93136
15,Australia,Oceania,Melbourne,-37.840935,144.946457
16,USA,North America,North central plains,33.188714,-102.827989
17,USA,North America,Califronian channel islands,34.00966663,-119.8023301
18,China,Asia,XI'an,34.341568,108.940178
19,Slovakia,Europe,,48.669,19.699
20,Australia,Oceania,,-25.2744,133.7751
21,Bangladesh,Asia,,23.685,90.3563
22,Australia,Asia,,-25.2744,133.7751
23,Sweden,Europe,Vasterbotten,64.344665,18.314209
24,South Africa,Africa,Free State,-28,27
25,Brazil,South America,Sao Luis,-2.52972,-44.30278
26,Brazil,South America,Brasilia,-15.793889,-47.882778
27,Brazil,South America,Fortaleza,-3.731862,-38.526669
28,Brazil,South America,Recife,-8.05,-34.900002
29,Brazil,South America,Manaus,-3.117034,-60.02578
30,India,Asia,,20.5937,78.9629
31,China,Asia,,35.8617,104.1954
32,Saudi Arabia,Asia,Riyadh,24.774265,46.738586
33,Uganda,Africa,West nile region,3,31.2
34,China,Asia,Molidawahaner,49.113162,124.796886
35,China,Asia,Elunchun,50.591858,123.726194
36,China,Asia,Jieshou,33.26338,115.36108
37,China,Asia,Yilong,31.51986111,106.4016667
38,China,Asia,Mengla,21.4667,101.5833
39,New Zealand,Oceania,,-40.9006,174.886
40,India,Asia,Bihar state,25.708597,85.803162
41,China,Asia,Yinshang,32.62945,116.27013
42,Czech Republic,Europe,,49.8175,15.473
43,Iran,Asia,Sistan-va-Baluchistan,29.850463,60.029143
44,Nigeria,Africa,Northern,10.5538,8.16155
45,Colombia,South America,,4.5709,-74.2973
46,China,Asia,Inner mongolia,40.8173,111.7652
47,Kenya,Africa,Garissa county,-0.451154,39.648942
48,Kenya,Africa,Kwale county,-4.171332648,39.45616484
49,Kenya,Africa,Thika county,-1.0499998,37.083333
50,South Africa,Africa,,-30.5595,22.9375
51,China,Asia,Yulin,38.244372,109.726449
52,Philippines,Asia,Manila,14.599512,120.984222
53,China,Asia,Changchun,43.891262,125.331345
54,Iran,Asia,,32.4207423,53.6830157
