"Environmental_condition","Category","Group","p_val","stat","p_val_removed","stat_removed"
"Temperature","Transmission_type","Vectored",0.047,2.32771249468886,0.002,5.56107646414523
"Temperature","Transmission_type","Non-vectored",0.212,1.42747180934332,0.002,5.56107646414523
"Temperature","Principal_reservoir","Rodents",0.298,1.11919016322001,0.058,2.37936430389116
"Temperature","Principal_reservoir","Mammals (multispecies)",0.256,1.22655809032688,0.048,2.29762808137766
"Temperature","Principal_reservoir","Livestock",0.126,1.6161775607749,0.076,2.18844510410186
"Temperature","Pathogen","Virus",0.997,0.184905957644689,0.559,0.687704809016227
"Temperature","Pathogen","Bacteria",0.991,0.184678386381065,0.849,0.401112565586629
"Temperature","vector","Mosquito",0.01,3.62650902788576,0,5.03516588665007
"Temperature","vector","Tick",0.145,1.60454910516446,0.071,2.19394829839746
"Temperature","vector","Mite",0.263,1.14437882858336,0.205,1.35674735874697
"Precipitation","Transmission_type","Vectored",0.791,0.484359959963105,0.361,0.99715572005719
"Precipitation","Transmission_type","Non-vectored",0.981,0.219938607121225,0.342,0.99715572005719
"Precipitation","Principal_reservoir","Rodents",0.836,0.405946157576702,0.343,1.03574789440603
"Precipitation","Principal_reservoir","Mammals (multispecies)",1,0.100772406348826,0.996,0.165837625042355
"Precipitation","Principal_reservoir","Livestock",0.086,2.17006015436193,0.031,3.02165521597796
"Precipitation","Pathogen","Virus",0.585,0.685309942167618,0.082,2.03457930962287
"Precipitation","Pathogen","Bacteria",0.721,0.535774316541999,0.226,1.39983117670656
"Precipitation","vector","Mosquito",0.461,0.829975183026937,0.265,1.1073147201056
"Precipitation","vector","Tick",0.383,0.936051721027995,0.32,1.08677829137068
"Precipitation","vector","Mite",0.439,0.84656939365718,0.353,1.00398978904198
"Humidity","Transmission_type","Vectored",0.902,0.35258485127934,0.416,0.881969663946043
"Humidity","Transmission_type","Non-vectored",0.976,0.235758926885572,0.456,0.881969663946042
"Humidity","Principal_reservoir","Rodents",0.826,0.442721765554926,0.465,0.876656803734988
"Humidity","Principal_reservoir","Mammals (multispecies)",0.404,0.891568476692317,0.138,1.64064487164335
"Humidity","Principal_reservoir","Livestock",0.041,2.7361700608215,0.004,4.7480570263988
"Humidity","Pathogen","Virus",0.975,0.263825762835332,0.624,0.610570422069972
"Humidity","Pathogen","Bacteria",0.972,0.241401156809557,0.496,0.829191437417288
"Humidity","vector","Mosquito",0.418,0.922526133227634,0.265,1.20407057915629
"Humidity","vector","Tick",0.591,0.673497103466667,0.458,0.863589959013698
"Humidity","vector","Mite",0.744,0.499502397005357,0.577,0.677125907281219
