es,Journal_5yr_Impact
0.297381771,2.659
0.183784524,2.659
0.001399774,3.754
0.043992883,3.754
0.000539913,3.754
0.186859378,4.548
0.111001763,4.548
0.005937218,4.548
0.166830985,4.548
0.001979065,4.548
0.011912649,3.389
0.011912649,3.389
0.053168984,3.389
1.016623377,4.548
0.811324675,4.548
0.487584416,4.548
0.261365313,2.699
0.00119513,2.699
0.203708038,4.548
0.056424268,4.548
1.331740631,4.548
0.548322363,4.548
0.71424,2.106
0.55552,2.106
0.019633227,2.106
0.161528388,2.106
0.131076923,2.323
0.631384615,2.323
0.027692308,2.323
0.001052233,4.548
0.013517727,4.548
0.070478232,4.016
0.241622607,4.016
0.016793041,4.016
0.282734484,4.016
0.070478232,4.016
0.255669963,4.016
0.161357215,4.016
0.500749189,4.016
0.007197322,3.33
0.971009174,4.548
0.832293578,4.548
0.436571429,1.514
1.066285714,1.514
0.339428571,1.514
1.112,1.514
0.055060092,4.975
0.215010699,4.975
0.019428783,4.975
0.008734209,5.014
0.286739266,3.131
0.005615923,3.131
0.083397096,4.744
0.123846007,4.744
1.710496595,4.744
0.028729721,3.357
0.024580749,3.357
0.021470154,2.106
0.465388569,2.106
0.059140784,6.924
0.005993088,6.924
0.015660702,6.924
0.08507212,6.924
0.002732261,6.924
0.017255513,6.924
0.101245299,2.2
0.104417751,2.2
0.084537711,2.2
0.006059378,2.2
0.096673936,2.2
0.007075731,2.2
0.218390248,3.272
0.258726882,3.272
0.019734165,3.272
0.588957055,4.568
0.686784434,4.48
0.052491494,0.214
0.001099234,0.214
0.031538335,0.214
0.964363636,6.012
1.191272727,6.012
0.026888615,6.012
1.359771799,2.172
0.619895967,2.172
0.479919459,2.172
0.941818837,0.918
1.833933763,0.918
1.407923857,0.918
0.806984499,4.548
0.005349269,4.548
0.214406522,3.074
0.448128408,3.074
0.977209756,4.419
0.264702439,4.419
0.179121951,4.419
1.898746639,1.455
1.945044915,1.455
1.924854273,1.455
1.932626604,1.455
0.234418237,1.455
0.754886874,1.455
1.950182166,1.455
0.81892631,1.455
1.974551711,1.455
0.022427743,2.659
1.299042674,2.659
0.05955774,2.306
1.826437346,2.306
1.965405405,2.306
0.11531258,3.272
0.137264769,3.272
0.690703833,1.953
1.023191638,1.953
0.253324042,1.953
0.606902721,2.106
1.202193375,2.106
0.828204631,2.106
0.110079161,3.413
0.000550166,3.413
0.283656336,2.306
0.013742909,2.306
0.235295674,2.306
0.443003455,2.2
1.638105862,2.2
0.037870894,2.2
0.095444315,2.306
1.174531482,2.306
0.417627119,2.306
0.018983051,2.306
0.569491525,2.306
0.702372881,2.306
0.029362389,3.389
0.073681918,2.323
0,3.147
1.171829258,3.147
0.002340988,4.944
0.044880779,4.944
0.003288711,3.389
0.000549486,3.389
