P.value_specific,Journal_5yr_Impact
0.02,2.659
0.757,3.754
0.004,3.754
0.825,3.754
0.051,4.548
0.004,4.548
0.989,4.548
0.002,2.106
0.004,2.106
0.044,2.323
0.03,2.323
0.04,2.323
0.002,3.33
0.008,4.975
0.013,4.975
0.16,4.975
0.843,3.131
0.008,3.131
0.001,3.357
0.001,3.357
0.019,6.924
0.017,6.924
0,6.924
0,6.924
0,6.924
0,6.924
0.011,2.2
0.009,2.2
0.48,3.272
0.032,4.568
0.057,0.214
0.049,0.214
0.04,6.012
0.009,6.012
0.01,6.012
0,0.918
0.0212,3.074
0.014,4.419
0.046,4.419
0.004,4.419
0.0649,1.455
0.0295,1.455
0.0449,1.455
0.039,1.455
0.906,1.455
0.69,1.455
0.026,1.455
0.663,1.455
0.009,1.455
0.02,3.272
0.007,3.272
0.003,1.953
0,1.953
0,1.953
0,2.106
0,2.106
0,2.106
0.071,2.306
0.001,2.306
0.005,2.306
0.003,2.2
0.29,2.306
0.08,2.306
0.004,4.944
0.0015,4.944
0.8,3.389
0.157,3.389
0.001,3.272
0.08,4.568
0.76,3.746
0.003,3.746
0.07,3.746
0.03,3.272
0.2,3.272
0.19,3.272
0.03,3.272
0.99,5.887
0.93,5.887
0.09,5.887
0.0023,3.008
0.0267,3.008
0.23,3.008
0,2.106
0.002,2.106
0,2.106
0.82,2.106
0.38,2.106
0.32,2.106
0.84,2.106
0.143,2.306
0.008,2.306
0.002,2.306
0,3.147
0,3.147
0.33,3.147
0.0996,1.899
0.0365,1.899
0.0535,1.899
0.0196,1.899
0,1.748
0.011,1.748
0,3.272
0.31,4.098
0.11,4.098
0.02,4.098
0.07,4.098
0.035,8.01
0.022,8.01
0.03,8.01
0.0156,4.568
0.005,4.568
0.001,4.568
0.002,4.568
0.0343,3.272
0.0079,3.272
0.524,4.409
0.592,4.409
0,4.548
0,4.548
0.53,4.548
0.034,4.548
0.011,4.548
0.038,4.548
0.417,3.272
0.234,3.272
0.001,3.272
0.18,3.389
0.02,3.389
0.56,3.389
0.35,3.389
0.054,3.531
0.166,3.531
0.081,3.531
0.019,3.531
0.0248,2.849
0.03,2.306
0.00061,8.01
0.011,3.531
0.014,3.531
0.1,3.272
0.0042,2.658
0.03333,2.658
0.7398,3.272
0.5301,3.272
0.3856,3.272
0.0024,3.272
0.401,3.272
0.5962,3.272
0.0087,3.272
0.29,3.272
0.2526,3.272
0.03,5.963
0.021,4.548
0.007,2.2
0,2.106
0.009,2.106
0.66,2.525
0.01,2.525
0.14,2.106
0.04,3.074
0.0002,6.856
0.03,6.856
0.7,6.856
0.0001,9.734
0.1,9.734
0.3,9.734
0.0001,9.734
0.03,9.734
0.018,1.545
0.05,1.545
0.222,1.545
0.619,1.545
0.999,1.545
0.143,1.545
0.03,1.545
0.641,1.545
0.801,1.545
0.667,1.545
0.968,1.545
0.06,3.515
0.001,3.778
0,3.778
0,3.778
0.31,4.744
0.18,4.744
0.19,4.744
0.0169,0.84
0.0529,0.84
0.0011,3.147
0.1,2.929
0.947,3.147
0.002,4.548
0.264,2.525
0.05,2.306
0.05,2.306
0.05,2.306
0.05,2.306
0.02,2.306
0.02,2.306
0.02,2.306
0.02,2.306
0.54,1.797
