"Environmental_condition","Category","Group","p_val","stat","p_val_removed","stat_removed"
"Temperature","Transmission_type","Vectored",0.044,2.53365374668377,0.044,2.53365374668377
"Temperature","Transmission_type","Non-vectored",0.158,1.60059174660185,0.158,1.60059174660185
"Temperature","Principal_reservoir","Rodents",0.26,1.23806013357438,0.26,1.23806013357438
"Temperature","Principal_reservoir","Mammals (multispecies)",0.266,1.1265150851913,0.266,1.1265150851913
"Temperature","Principal_reservoir","Livestock",0.137,1.66876494455465,0.137,1.66876494455465
"Temperature","Pathogen","Virus",0.988,0.204122255425172,0.988,0.204122255425172
"Temperature","Pathogen","Bacteria",0.991,0.19215108268438,0.991,0.19215108268438
"Temperature","vector","Mosquito",0.002,4.15034672623946,0.002,4.15034672623946
"Temperature","vector","Tick",0.166,1.53415582453946,0.166,1.53415582453946
"Temperature","vector","Mite",0.325,1.09647373114839,0.325,1.09647373114839
"Precipitation","Transmission_type","Vectored",0.757,0.496369048493581,0.757,0.496369048493581
"Precipitation","Transmission_type","Non-vectored",0.975,0.234295938160617,0.975,0.234295938160617
"Precipitation","Principal_reservoir","Rodents",0.873,0.373175097591144,0.873,0.373175097591144
"Precipitation","Principal_reservoir","Mammals (multispecies)",1,0.0959539396362341,1,0.0959539396362341
"Precipitation","Principal_reservoir","Livestock",0.072,2.23630378221168,0.072,2.23630378221168
"Precipitation","Pathogen","Virus",0.617,0.632902126385385,0.617,0.632902126385385
"Precipitation","Pathogen","Bacteria",0.752,0.497425921968995,0.752,0.497425921968995
"Precipitation","vector","Mosquito",0.506,0.765356757695315,0.506,0.765356757695315
"Precipitation","vector","Tick",0.377,0.980329977714082,0.377,0.980329977714082
"Precipitation","vector","Mite",0.497,0.796273647223874,0.497,0.796273647223874
"Humidity","Transmission_type","Vectored",0.903,0.35258485127934,0.903,0.35258485127934
"Humidity","Transmission_type","Non-vectored",0.978,0.235758926885572,0.978,0.235758926885572
"Humidity","Principal_reservoir","Rodents",0.795,0.442721765554926,0.795,0.442721765554926
"Humidity","Principal_reservoir","Mammals (multispecies)",0.469,0.891568476692317,0.469,0.891568476692317
"Humidity","Principal_reservoir","Livestock",0.04,2.7361700608215,0.04,2.7361700608215
"Humidity","Pathogen","Virus",0.974,0.263825762835332,0.974,0.263825762835332
"Humidity","Pathogen","Bacteria",0.977,0.241401156809557,0.977,0.241401156809557
"Humidity","vector","Mosquito",0.409,0.922526133227634,0.409,0.922526133227634
"Humidity","vector","Tick",0.588,0.673497103466667,0.588,0.673497103466667
"Humidity","vector","Mite",0.738,0.499502397005357,0.738,0.499502397005357
