"Environmental_condition","Category","Group","p_val","stat","p_val_removed","stat_removed"
"Temperature","Transmission_type","Vectored",0.047,2.32771249468886,0,5.56107646414523
"Temperature","Transmission_type","Non-vectored",0.212,1.42747180934332,0.001,5.56107646414523
"Temperature","Principal_reservoir","Rodents",0.298,1.11919016322001,0.051,2.37936430389116
"Temperature","Principal_reservoir","Mammals (multispecies)",0.256,1.22655809032688,0.068,2.29762808137766
"Temperature","Principal_reservoir","Livestock",0.126,1.6161775607749,0.062,2.18844510410186
"Temperature","Principal_reservoir","Birds",0.025,3.0970342516291,0.009,4.25126729946213
"Temperature","Pathogen","Virus",0.998,0.184905957644689,0.576,0.687704809016227
"Temperature","Pathogen","Bacteria",0.988,0.184678386381065,0.857,0.401112565586629
"Temperature","vector","Mosquito",0.008,3.62650902788576,0.005,5.03516588665007
"Temperature","vector","Tick",0.145,1.60454910516446,0.066,2.19394829839746
"Temperature","vector","Mite",0.274,1.14437882858336,0.222,1.35674735874697
"Precipitation","Transmission_type","Vectored",0.752,0.484359959963105,0.372,0.99715572005719
"Precipitation","Transmission_type","Non-vectored",0.991,0.219938607121225,0.379,0.99715572005719
"Precipitation","Principal_reservoir","Rodents",0.845,0.405946157576702,0.343,1.03574789440603
"Precipitation","Principal_reservoir","Mammals (multispecies)",1,0.100772406348826,0.997,0.165837625042355
"Precipitation","Principal_reservoir","Livestock",0.066,2.17006015436193,0.018,3.02165521597796
"Precipitation","Principal_reservoir","Birds",0.252,1.27243631587166,0.148,1.71606154626987
"Precipitation","Pathogen","Virus",0.579,0.685309942167618,0.088,2.03457930962287
"Precipitation","Pathogen","Bacteria",0.7,0.535774316541999,0.205,1.39983117670656
"Precipitation","vector","Mosquito",0.464,0.829975183026937,0.323,1.1073147201056
"Precipitation","vector","Tick",0.427,0.936051721027995,0.31,1.08677829137068
"Precipitation","vector","Mite",0.454,0.84656939365718,0.342,1.00398978904198
"Humidity","Transmission_type","Vectored",0.91,0.35258485127934,0.438,0.881969663946043
"Humidity","Transmission_type","Non-vectored",0.981,0.235758926885572,0.439,0.881969663946042
"Humidity","Principal_reservoir","Rodents",0.805,0.442721765554926,0.401,0.876656803734988
"Humidity","Principal_reservoir","Mammals (multispecies)",0.41,0.891568476692317,0.156,1.64064487164335
"Humidity","Principal_reservoir","Livestock",0.036,2.7361700608215,0.005,4.7480570263988
"Humidity","Principal_reservoir","Birds",0.723,0.516536760551292,0.641,0.587909747978418
"Humidity","Pathogen","Virus",0.962,0.263825762835332,0.631,0.610570422069972
"Humidity","Pathogen","Bacteria",0.973,0.241401156809557,0.477,0.829191437417288
"Humidity","vector","Mosquito",0.409,0.922526133227634,0.247,1.20407057915629
"Humidity","vector","Tick",0.58,0.673497103466667,0.448,0.863589959013698
"Humidity","vector","Mite",0.746,0.499502397005357,0.601,0.677125907281219
